G2,G1,failures,higher,age,school,goout,Mjob,Fjob,health,freetime,absences,Walc,famrel,Medu,Fedu,G3
A,A,0,yes,17,GP,5,other,services,5,3,0,5,4,3,3,A
D,D,0,yes,17,GP,5,services,other,4,4,2,5,4,2,2,D
C,C,0,yes,17,GP,4,teacher,services,4,4,0,3,5,4,4,C
B,B,0,yes,17,GP,3,teacher,teacher,4,3,4,2,4,4,4,B
C,D,0,yes,17,GP,5,at_home,other,5,2,2,5,4,3,3,D
D,D,0,yes,18,GP,5,other,other,5,5,0,4,4,2,2,C
D,D,0,yes,19,GP,4,at_home,services,5,3,0,2,5,3,2,D
F,D,0,yes,18,GP,5,at_home,other,2,2,2,1,4,2,2,D
B,B,0,yes,17,GP,3,at_home,other,5,4,0,1,4,2,4,B
B,B,0,yes,18,GP,2,other,other,5,4,6,2,5,2,2,B
D,D,0,yes,18,GP,4,services,services,4,3,8,1,5,3,3,C
F,D,0,yes,18,GP,3,other,other,2,3,0,1,4,2,2,C
C,B,0,yes,18,GP,4,at_home,other,4,4,6,1,4,2,2,B
C,D,0,yes,17,GP,5,services,other,5,4,8,3,4,3,4,B
C,C,0,yes,17,GP,2,other,other,2,3,0,3,4,3,2,B
B,B,0,yes,18,GP,3,services,services,1,3,4,1,5,3,3,B
B,B,0,yes,17,GP,3,other,other,2,3,0,3,4,3,2,A
C,C,0,yes,18,GP,3,teacher,services,2,3,0,2,4,4,4,C
A,A,0,yes,18,GP,3,services,other,5,3,6,3,4,3,4,A
C,D,0,yes,17,GP,1,at_home,at_home,4,3,18,2,3,2,2,B
C,D,0,yes,18,GP,3,at_home,other,3,3,0,2,4,2,3,B
A,B,0,yes,18,GP,3,other,services,1,4,4,3,5,3,2,A
B,B,0,yes,18,GP,2,teacher,services,4,3,4,2,5,4,3,A
C,B,0,yes,18,GP,5,teacher,other,5,4,0,3,5,4,3,B
C,D,0,yes,17,GP,3,health,other,4,4,0,3,4,4,3,C
B,C,0,yes,17,GP,4,services,other,1,3,10,2,4,2,1,B
A,C,0,yes,17,GP,5,services,other,4,3,4,4,4,2,1,A
D,D,1,no,19,GP,3,at_home,other,5,2,16,4,2,2,3,D
C,D,1,yes,17,GP,2,other,at_home,3,1,6,1,4,3,1,C
C,F,2,yes,21,GP,2,other,other,5,3,0,1,3,4,4,C
D,F,0,no,18,GP,4,services,services,3,4,11,3,4,2,2,C
B,C,0,yes,18,GP,5,other,other,2,3,9,4,4,3,4,B
A,C,0,yes,17,GP,4,services,services,4,3,0,3,4,2,2,A
B,C,0,yes,17,GP,2,health,other,4,4,2,2,4,4,4,B
A,B,0,yes,18,GP,2,teacher,other,3,2,0,1,4,4,2,A
D,F,2,no,21,GP,3,at_home,other,4,3,21,2,5,1,1,D
B,D,0,yes,20,GP,2,other,other,3,2,8,3,3,1,1,B
D,F,1,yes,19,GP,5,teacher,other,5,2,5,4,3,4,4,D
A,A,0,yes,17,GP,4,other,other,5,4,10,2,4,3,2,A
A,B,0,yes,18,GP,4,at_home,other,2,3,5,2,4,3,2,A
B,C,0,yes,18,GP,3,other,services,4,1,13,5,3,2,3,B
D,F,0,yes,19,GP,4,other,other,4,3,10,4,5,2,1,D
A,B,0,yes,18,GP,4,services,other,4,1,10,3,4,2,2,A
D,F,1,yes,20,GP,1,other,other,5,3,5,1,5,1,0,D
C,D,0,yes,18,GP,2,services,other,1,1,4,2,3,3,2,C
D,D,0,no,16,MS,3,at_home,other,5,3,11,3,4,1,3,D
C,C,0,yes,16,MS,4,other,other,5,4,0,1,4,2,2,C
D,D,1,yes,15,MS,3,at_home,services,2,1,6,1,4,1,1,D
D,D,0,yes,15,MS,4,at_home,other,5,4,4,3,5,3,3,D
A,A,0,yes,16,MS,2,at_home,services,5,5,0,2,4,2,3,A
F,F,0,no,15,MS,4,at_home,other,1,3,0,1,1,2,1,F
D,D,0,yes,16,MS,2,at_home,other,2,3,5,3,5,4,4,D
D,D,0,yes,16,MS,3,other,other,5,4,0,1,4,1,2,D
D,D,1,yes,17,MS,4,at_home,other,5,5,0,2,4,3,2,D
F,F,1,no,17,MS,4,other,other,5,4,0,2,5,1,1,F
B,C,0,yes,15,MS,1,teacher,other,5,5,0,5,1,4,4,B
F,D,0,no,16,MS,1,at_home,other,1,2,4,1,1,2,2,D
D,D,0,yes,15,MS,3,at_home,services,4,4,0,2,5,1,1,D
F,F,1,yes,15,MS,3,other,services,2,4,4,2,4,1,1,F
D,C,0,yes,16,MS,3,other,other,2,2,0,2,3,0,2,C
D,D,0,yes,17,MS,5,other,other,3,5,2,3,5,2,3,C
A,B,0,yes,15,MS,3,other,services,4,1,0,1,4,3,3,A
F,F,0,yes,16,MS,5,at_home,services,3,4,0,5,5,1,1,F
F,F,0,yes,17,MS,3,other,other,5,4,4,4,4,1,1,F
C,C,0,yes,15,MS,4,health,services,2,3,0,2,5,4,1,B
F,F,0,yes,15,MS,4,health,services,2,3,7,2,5,4,1,F
D,F,0,yes,16,MS,5,other,health,5,4,4,2,3,3,4,D
F,F,0,yes,15,MS,5,other,other,4,4,8,4,5,1,1,F
D,D,0,yes,15,MS,3,at_home,at_home,5,3,0,1,5,3,3,D
D,F,0,no,17,MS,5,other,other,3,5,8,5,5,2,1,F
A,A,0,yes,16,MS,2,teacher,teacher,4,2,6,1,4,4,4,A
C,D,0,yes,15,MS,2,other,services,1,1,3,1,5,1,2,C
B,B,0,yes,16,MS,4,other,services,1,5,2,2,4,2,3,B
D,D,0,yes,16,MS,3,other,other,5,3,0,1,4,1,2,D
D,F,0,yes,16,MS,5,other,other,4,4,4,1,4,2,2,D
F,D,1,yes,16,MS,2,other,services,4,3,0,2,1,1,2,F
F,F,1,yes,16,MS,2,other,services,4,3,3,2,1,1,2,F
D,F,0,yes,15,MS,2,at_home,other,2,4,0,3,4,2,1,F
B,C,0,yes,16,MS,3,at_home,other,2,4,0,1,5,1,1,B
D,D,0,yes,17,MS,5,at_home,services,3,5,4,5,5,1,2,D
D,C,0,yes,16,MS,2,other,other,1,3,0,1,4,1,1,C
F,D,0,yes,16,MS,3,at_home,other,5,4,2,1,4,1,1,D
D,D,0,yes,15,MS,3,at_home,other,2,3,1,1,4,1,1,D
C,C,0,yes,16,MS,2,at_home,other,2,2,0,3,4,1,1,B
B,C,0,yes,15,MS,1,at_home,at_home,2,2,0,2,4,1,1,B
D,B,0,yes,15,MS,3,other,other,5,4,2,2,4,2,2,C
D,D,0,yes,16,MS,4,at_home,other,5,4,6,4,3,1,1,D
F,F,1,yes,18,MS,4,other,other,5,4,9,3,3,1,2,F
F,D,0,yes,15,MS,3,other,services,4,2,0,3,3,3,1,D
C,B,0,yes,16,MS,4,other,services,2,3,1,1,5,2,2,B
C,C,0,yes,15,MS,3,health,other,4,3,1,2,4,2,2,C
C,C,0,yes,16,MS,1,other,teacher,3,3,0,1,4,4,4,C
C,C,0,yes,15,MS,4,services,other,1,5,4,1,4,3,3,C
D,C,1,yes,16,MS,4,at_home,other,5,4,2,3,4,2,2,C
B,B,0,yes,16,MS,2,other,other,4,3,0,1,4,2,2,A
F,D,0,yes,16,MS,3,at_home,services,4,4,4,3,2,2,1,D
D,D,0,yes,15,MS,4,at_home,other,3,2,2,5,4,1,3,D
C,C,0,yes,15,MS,2,other,services,4,3,0,1,5,2,2,B
F,D,0,yes,16,MS,3,other,other,5,4,2,1,5,2,1,F
D,C,0,yes,15,MS,3,services,services,3,3,11,4,4,3,3,D
F,F,3,yes,16,MS,3,at_home,other,1,4,0,1,3,1,1,F
F,F,0,no,17,MS,3,other,at_home,5,5,4,1,4,2,2,D
F,F,1,no,19,MS,4,at_home,services,2,4,0,1,4,2,3,D
D,F,0,no,17,MS,3,at_home,other,3,5,2,1,5,2,1,D
D,F,0,no,15,MS,1,at_home,other,4,2,0,3,5,1,1,F
D,F,0,no,16,MS,5,other,other,1,4,1,2,3,2,2,D
F,F,0,no,16,MS,4,other,other,1,3,6,2,4,2,2,F
D,D,0,yes,17,MS,5,at_home,other,4,3,0,2,4,2,2,D
D,F,1,yes,16,MS,3,other,services,3,4,1,4,4,2,2,D
F,F,2,no,18,MS,2,other,other,2,3,6,1,3,3,2,D
F,F,1,no,19,MS,1,at_home,services,3,3,6,1,5,1,1,F
F,F,1,no,18,MS,3,other,other,4,4,0,4,4,1,1,D
D,F,1,no,18,MS,3,at_home,at_home,2,2,4,1,3,1,1,D
F,F,1,yes,19,MS,4,other,other,1,1,12,1,1,1,1,F
D,F,0,yes,16,MS,2,health,other,3,3,2,1,3,2,2,D
F,F,0,yes,17,MS,4,other,at_home,5,4,5,5,2,0,1,D
F,F,0,no,16,MS,5,at_home,other,3,4,0,3,4,1,2,F
C,B,0,no,16,MS,4,other,other,4,5,0,1,4,3,3,C
B,B,0,yes,16,MS,4,services,services,4,4,2,2,4,1,1,B
D,D,1,yes,17,MS,5,services,at_home,5,4,0,4,5,3,3,D
C,B,0,yes,16,MS,3,other,services,1,3,0,1,5,2,1,B
A,A,0,yes,16,MS,5,services,other,5,2,0,2,4,2,2,A
F,F,1,no,17,MS,5,other,other,1,3,12,5,5,1,2,F
C,B,0,yes,16,MS,5,other,other,5,2,8,5,4,4,3,C
F,D,1,yes,17,MS,5,services,services,3,3,2,5,1,2,2,F
B,B,0,yes,16,MS,1,other,other,5,2,0,1,2,1,1,B
C,C,0,yes,19,MS,5,other,other,1,4,0,1,5,2,2,C
D,D,0,yes,17,MS,5,at_home,other,5,4,0,2,4,1,1,D
F,D,1,yes,20,MS,4,at_home,services,3,3,8,4,3,3,3,D
D,D,0,yes,17,MS,3,other,services,3,3,0,1,4,1,1,D
F,D,1,yes,17,MS,5,other,other,5,4,0,2,4,2,2,F
A,A,0,yes,16,MS,2,at_home,other,1,3,0,1,5,1,1,A
A,B,0,yes,17,MS,2,other,other,1,3,0,1,5,2,2,A
F,D,0,yes,17,MS,5,other,other,4,4,1,1,4,1,0,D
F,F,1,yes,18,MS,2,at_home,other,5,3,9,1,4,1,1,F
F,F,0,yes,16,MS,3,other,other,1,1,0,3,3,3,1,F
F,F,0,yes,16,MS,3,services,at_home,3,1,2,4,3,3,2,F
F,F,0,yes,18,MS,5,other,at_home,3,3,8,4,2,1,1,D
A,B,0,yes,16,MS,3,health,teacher,2,3,0,3,4,4,4,A
B,B,0,yes,16,MS,5,other,other,2,4,0,4,5,1,2,B
F,F,1,yes,18,MS,2,other,services,1,3,8,3,2,2,4,F
F,F,0,yes,16,MS,1,other,services,2,2,0,1,5,2,1,F
F,F,0,yes,16,MS,2,at_home,other,5,3,6,3,4,1,1,F
D,F,0,yes,16,MS,3,at_home,services,2,3,0,1,3,2,3,D
F,F,0,yes,16,MS,4,health,health,3,3,4,2,4,4,4,F
F,F,0,no,18,MS,5,at_home,health,5,5,2,5,5,4,4,F
F,F,0,yes,16,MS,1,at_home,other,2,2,2,1,4,3,4,F
B,B,0,yes,17,MS,3,other,services,5,4,0,2,4,4,4,A
B,C,0,yes,17,MS,3,other,other,5,2,1,2,4,4,1,B
F,D,0,yes,16,MS,3,services,services,3,1,0,2,5,2,2,D
F,F,0,yes,17,MS,3,at_home,other,5,1,5,2,5,2,2,F
D,D,0,yes,16,MS,3,services,services,5,1,1,2,5,4,4,D
D,F,0,yes,17,MS,4,services,services,3,1,8,5,4,3,3,F
D,D,0,yes,17,MS,3,at_home,services,1,1,0,3,5,1,1,D
F,F,0,yes,16,MS,2,health,services,5,2,2,4,4,2,1,F
B,B,0,yes,16,MS,2,other,services,3,2,0,1,3,2,1,A
C,D,0,yes,16,MS,2,teacher,health,5,1,0,5,4,4,4,C
D,F,0,yes,15,MS,5,other,services,5,5,11,3,5,1,2,D
B,C,0,yes,15,MS,5,other,other,5,4,8,3,5,2,2,B
C,C,0,yes,15,MS,3,services,services,5,3,11,2,4,2,1,C
D,D,0,yes,16,MS,3,other,other,5,3,2,2,4,2,2,D
D,F,0,yes,16,MS,4,other,other,1,2,8,2,1,4,1,D
D,F,0,yes,17,MS,3,at_home,other,1,3,5,2,4,3,2,D
F,D,0,yes,17,MS,3,other,other,5,1,0,1,5,2,2,D
D,D,0,yes,16,MS,5,teacher,services,5,3,1,4,5,4,4,C
F,F,3,yes,17,MS,3,health,other,5,3,2,3,3,4,4,F
D,C,0,yes,17,MS,2,other,other,5,1,2,3,5,1,3,C
F,F,1,yes,17,MS,4,services,other,5,4,8,4,5,3,4,F
B,C,0,yes,17,MS,5,health,health,5,2,0,1,5,4,4,A
D,D,0,yes,16,MS,2,other,at_home,2,1,0,1,4,4,1,D
D,D,0,yes,17,MS,5,at_home,at_home,3,5,2,2,4,1,1,D
A,A,0,yes,17,MS,3,other,other,5,3,0,3,4,4,2,A
C,C,0,yes,16,MS,2,other,services,5,1,0,2,4,2,2,C
B,C,0,yes,17,MS,2,other,other,1,1,0,2,4,3,2,C
F,F,2,no,19,MS,3,other,other,4,4,2,4,4,1,1,D
D,D,0,yes,17,MS,2,other,other,5,1,4,1,4,1,0,C
D,D,0,no,17,MS,5,at_home,at_home,4,5,3,2,3,1,1,D
B,C,0,yes,16,MS,4,other,other,3,3,5,1,4,1,2,C
D,F,0,yes,16,MS,4,other,at_home,5,4,4,4,4,1,2,D
F,F,3,yes,17,MS,4,other,other,5,4,2,1,5,3,1,D
C,F,0,no,17,MS,5,other,other,5,5,0,5,5,2,2,D
C,C,1,yes,18,MS,2,at_home,at_home,4,3,0,1,4,1,0,C
F,D,0,yes,17,MS,5,other,services,2,5,0,3,4,1,1,D
F,D,0,yes,18,MS,3,at_home,at_home,5,3,6,4,4,1,1,D
C,D,0,yes,16,MS,3,other,services,1,4,0,1,5,2,2,C
F,F,1,yes,17,MS,1,other,other,5,2,0,3,1,2,2,F
F,D,0,yes,16,MS,5,services,other,5,5,2,3,4,3,2,D
D,D,0,yes,16,MS,5,at_home,other,5,5,0,4,4,1,1,F
F,F,1,no,18,MS,3,services,other,5,3,2,3,5,1,1,F
F,F,1,no,18,MS,1,services,other,5,3,0,2,2,3,2,F
D,F,3,yes,19,MS,1,at_home,services,3,2,4,1,3,3,2,F
F,F,2,no,18,MS,5,at_home,at_home,3,4,9,3,4,3,3,F
F,F,0,yes,16,MS,3,services,services,4,4,6,4,5,2,2,F
F,F,3,no,19,MS,3,at_home,other,5,4,4,3,4,2,1,F
F,F,2,yes,16,MS,5,services,at_home,1,5,8,1,2,3,2,F
F,F,0,yes,17,MS,2,other,at_home,5,3,9,2,4,1,1,D
D,F,1,no,20,MS,3,other,other,4,4,12,4,4,1,1,D
D,D,0,yes,18,MS,4,services,services,2,4,8,4,5,4,3,D
D,F,0,yes,18,MS,5,other,other,5,5,8,5,2,3,2,D
F,D,1,yes,19,MS,4,other,services,2,4,8,3,5,1,1,D
F,F,1,yes,17,MS,4,health,other,3,5,4,3,4,3,3,D
D,F,0,no,18,MS,3,at_home,services,3,3,0,3,4,1,3,F
F,F,1,yes,19,MS,4,other,other,5,4,4,3,4,1,1,D
F,F,2,yes,18,MS,3,at_home,other,5,3,2,1,4,1,2,F
F,F,0,no,19,MS,4,at_home,other,5,4,0,1,1,1,1,F
F,F,1,no,18,MS,5,other,other,3,5,0,1,5,2,2,F
D,D,0,yes,17,MS,3,at_home,other,5,4,0,1,4,0,0,D
F,F,0,no,17,MS,3,other,at_home,3,2,5,2,4,3,1,F
F,F,0,yes,17,MS,5,teacher,services,5,5,0,3,5,4,2,F
F,F,1,yes,18,MS,3,services,services,4,3,3,2,2,2,2,F
D,F,0,yes,17,MS,2,health,at_home,5,2,0,1,3,4,1,F
D,F,0,yes,17,MS,1,at_home,other,3,5,0,1,5,1,2,D
F,F,2,yes,18,MS,4,other,other,5,4,3,2,3,1,1,F
C,C,0,yes,18,MS,5,services,at_home,1,3,2,1,4,2,2,B
C,D,0,yes,17,MS,3,services,services,4,4,0,1,4,3,3,C
C,C,0,yes,18,MS,3,at_home,other,4,4,0,2,4,1,2,B
A,A,0,yes,18,MS,5,teacher,teacher,1,3,0,2,4,4,4,A
A,A,0,yes,18,MS,5,services,other,5,4,3,1,5,4,4,A
A,A,0,yes,17,MS,3,other,other,4,3,0,2,4,4,2,A
F,F,1,yes,18,MS,3,at_home,other,4,3,0,1,4,2,2,F
D,D,0,yes,18,MS,4,at_home,services,1,1,8,5,4,1,2,D
C,C,0,yes,18,MS,5,at_home,services,1,5,5,1,2,4,4,B
C,C,0,no,17,MS,3,other,services,4,2,4,4,4,1,1,B
F,F,0,yes,18,MS,1,other,other,2,3,4,1,1,2,2,D
C,D,0,yes,18,MS,5,services,services,3,4,0,4,5,2,2,C
F,F,0,yes,18,MS,1,teacher,other,5,3,0,1,5,4,2,F
D,F,1,no,18,MS,2,at_home,services,2,4,2,2,4,1,1,D
F,F,1,no,19,MS,5,at_home,services,2,5,0,3,5,1,1,F
A,A,0,yes,17,MS,3,teacher,other,5,2,0,1,4,4,2,A
D,D,0,yes,17,MS,3,services,other,2,3,5,2,5,2,1,C
D,F,0,yes,18,MS,3,at_home,services,3,2,2,2,5,1,1,D
D,D,0,no,18,MS,1,at_home,at_home,4,1,0,1,4,1,2,C
F,F,3,no,19,MS,4,at_home,at_home,1,5,0,4,3,1,1,F
B,B,0,yes,18,MS,1,services,other,4,2,5,1,4,2,2,B
D,D,1,yes,17,MS,5,services,other,2,5,4,3,4,4,3,D
D,D,0,yes,18,MS,4,services,services,5,3,0,1,5,3,3,D
C,C,0,yes,17,MS,3,teacher,services,5,3,2,2,4,4,4,C
B,B,0,yes,17,MS,3,services,other,5,2,0,2,1,3,2,B
C,B,0,yes,18,MS,2,other,services,3,3,2,2,3,1,1,B
A,A,0,yes,18,MS,2,at_home,services,4,3,0,1,5,1,1,A
B,A,0,yes,18,MS,4,at_home,other,5,3,0,4,4,1,2,B
C,C,0,yes,18,MS,2,services,services,3,3,6,3,4,3,3,C
B,B,0,yes,17,MS,4,at_home,at_home,1,3,4,1,2,4,4,B
C,C,0,yes,17,MS,2,other,services,3,2,0,2,3,1,2,C
D,F,0,yes,18,MS,4,at_home,other,3,3,0,4,3,1,3,F
A,B,0,yes,18,MS,2,teacher,services,5,2,0,2,4,4,4,A
F,F,1,yes,17,MS,1,other,services,1,2,0,2,5,1,1,F
D,D,0,yes,18,MS,3,at_home,services,4,2,0,2,5,2,3,D
F,F,0,yes,18,MS,2,other,teacher,5,2,0,2,3,4,4,F
D,F,0,no,18,MS,3,at_home,services,3,3,3,3,4,1,2,D
D,D,0,yes,17,MS,3,other,at_home,3,4,8,1,3,2,2,C
F,F,0,yes,17,MS,5,other,other,1,5,4,3,3,1,2,F
A,B,0,yes,18,MS,4,other,other,1,4,0,1,5,4,4,A
D,D,0,yes,18,MS,2,other,other,4,3,4,2,4,1,1,C
F,F,1,yes,19,MS,3,at_home,other,3,3,4,1,4,1,1,F
B,C,0,yes,18,MS,3,teacher,services,2,4,1,4,5,4,4,B
A,A,0,yes,18,MS,3,other,other,1,1,1,2,4,3,3,A
F,F,0,yes,17,MS,4,at_home,other,1,5,10,3,4,3,1,F
A,A,0,yes,18,MS,4,teacher,teacher,2,2,4,4,3,4,4,A
F,F,0,yes,18,MS,3,other,other,5,4,0,3,4,2,1,F
B,B,0,yes,17,MS,3,other,services,3,4,4,1,4,2,3,A
F,F,1,yes,19,MS,2,other,services,5,3,0,3,4,1,1,F
F,F,1,yes,18,MS,3,other,other,3,4,0,3,5,4,2,F
A,B,0,yes,18,MS,3,at_home,other,4,3,0,3,5,2,2,B
F,F,0,yes,17,MS,4,teacher,other,1,5,0,1,5,4,3,D
F,F,0,yes,18,MS,3,teacher,at_home,5,4,4,2,4,4,4,D
D,D,1,yes,19,MS,2,services,other,5,4,4,2,5,2,3,D
B,B,0,yes,18,MS,4,teacher,services,1,3,4,1,4,3,1,A
C,D,0,yes,18,MS,1,other,other,5,1,6,1,1,1,1,F
D,D,0,yes,17,MS,5,services,services,2,4,6,4,2,3,1,D
D,D,0,yes,18,MS,1,services,other,5,4,4,4,4,3,2,D
